ENGLISH WORD,THAI WORD,THAI SENTENCE,ENGLISH SENTENCE,EXTRACTED WORD,BLANKED SENTENCE,EXTRACTED THAI WORD,BLANKED THAI SENTENCE
"abstract, n.",บทคัดย่อ,ผลการศึกษาดังกล่าวนี้ได้รับรางวัลบทคัดย่อการศึกษาวิจัยยอดเยี่ยม,The research results received an outstanding research abstract award.,abstract,The research results received an outstanding research _______ award.,บทคัดย่อ,ผลการศึกษาดังกล่าวนี้ได้รับรางวัล_______การศึกษาวิจัยยอดเยี่ยม
"accumulate, (intangible)",สั่งสม,นายกรัฐมนตรีกำลังสั่งสมอำนาจโดยไม่มีผู้ใดคอยเหนี่ยวรั้ง,The prime minister is accumulating power without anyone to deter him.,accumulate,The prime minister is _______ power without anyone to deter him.,สั่งสม,นายกรัฐมนตรีกำลัง_______อำนาจโดยไม่มีผู้ใดคอยเหนี่ยวรั้ง
"accurate, (on target)",แม่นยำ,คณะผู้วิจัยหวังว่าได้พบวิธีที่ง่ายและแม่นยำเพื่อใช้ตรวจคัดมะเร็งลำไส้ใหญ่แล้ว,The researchers hope they have found a simple and accurate way to screen for colon cancer.,accurate,The researchers hope they have found a simple and _______ way to screen for colon cancer.,แม่นยำ,คณะผู้วิจัยหวังว่าได้พบวิธีที่ง่ายและ_______เพื่อใช้ตรวจคัดมะเร็งลำไส้ใหญ่แล้ว
"accurate, (correct)",ถูกต้อง,ผู้บัญชาการกล่าวว่าจะให้ข้อมูลที่ถูกต้อง,The commander stated that he will provide accurate data.,accurate,The commander stated that he will provide _______ data.,ถูกต้อง,ผู้บัญชาการกล่าวว่าจะให้ข้อมูลที่_______
achieve,บรรลุ,ขณะนี้ผู้ก่อการร้ายยังไม่บรรลุวัตถุประสงค์,At this time the terrorists have not achieved their objectives.,achieve,At this time the terrorists have not _______ their objectives.,บรรลุ,ขณะนี้ผู้ก่อการร้ายยังไม่_______วัตถุประสงค์
"acknowledge, (accept)",ยอมรับ,พล.ต. สมบัติยอมรับว่า สนใจ(กับ)ข้อเสนอของรัสเซีย,Major General Sombat acknowledged that he is interested in Russia's proposal.,acknowledge,Major General Sombat _______ that he is interested in Russia's proposal.,ยอมรับ,พล.ต. สมบัติ_______ว่า สนใจ(กับ)ข้อเสนอของรัสเซีย
"administration, (government)",รัฐบาล,รัฐบาลของบุชคงอยากให้คนมองสงครามว่ายากกว่าการไปเดินเล่นในสวนเพียงนิดเดียว,The Bush administration would have the public think of the war as barely more difficult than a walk in the park.,administration,The Bush _______ would have the public think of the war as barely more difficult than a walk in the park.,รัฐบาล,_______ของบุชคงอยากให้คนมองสงครามว่ายากกว่าการไปเดินเล่นในสวนเพียงนิดเดียว
"administration, (business)",การบริหาร,นายกรัฐมนตรีควรเร่งแก้ปัญหาที่เกิดขึ้นโดยเร็ว เพื่อไม่ให้กระทบต่อการบริหารประเทศ,The Prime Minister should quickly resolve these issues so that they will not affect the country's administration.,administration,The Prime Minister should quickly resolve these issues so that they will not affect the country's _______.,การบริหาร,นายกรัฐมนตรีควรเร่งแก้ปัญหาที่เกิดขึ้นโดยเร็ว เพื่อไม่ให้กระทบต่อ_______ประเทศ
"adult, n.",ผู้ใหญ่,ผลกระทบนี้จะมีอันตรายต่อเด็กมากกว่าต่อผู้ใหญ่,The effects could be more dangerous for children than for adults.,adult,The effects could be more dangerous for children than for _______.,ผู้ใหญ่,ผลกระทบนี้จะมีอันตรายต่อเด็กมากกว่าต่อ_______
aesthetics,สุนทรียภาพ,การออกแบบรถยนต์ต้องคำนึงถึงสุนทรียภาพของสี,Designing cars has to take into consideration the aesthetics of colour.,aesthetics,Designing cars has to take into consideration the _______ of colour.,สุนทรียภาพ,การออกแบบรถยนต์ต้องคำนึงถึง_______ของสี
allocate,จัดสรร,"เขาเสนอให้คณะกรรมการจัดสรรเงิน 100,000 บาท ลงหน่วยเลือกตั้งทุกหน่วย","He suggested the Commission allocate 100,000 baht to each constituency.",allocate,"He suggested the Commission _______ 100,000 baht to each constituency.",จัดสรร,"เขาเสนอให้คณะกรรมการ_______เงิน 100,000 บาท ลงหน่วยเลือกตั้งทุกหน่วย"
"alternative, n.",ทางเลือก,มีทางเลือกเพียงทางเดียว,There was only one alternative.,alternative,There was only one _______.,ทางเลือก,มี_______เพียงทางเดียว
analyze,วิเคราะห์,ทางพรรคยังได้วิเคราะห์เกี่ยวกับการเลือกตั้งสมาชิกวุฒิสภา,The party analyzed the senate election.,analyze,The party _______ the senate election.,วิเคราะห์,ทางพรรคยังได้_______เกี่ยวกับการเลือกตั้งสมาชิกวุฒิสภา
ambiguous,กำกวม,อย่าไปโทษ กกต. ควรจะโทษ ส.ส.ร.ที่เขียนรัฐธรรมนูญแบบกำกวม,Don't fault the Election Commission--fault the Constitution Drafting Council for writing an ambiguous constitution.,ambiguous,Don't fault the Election Commission--fault the Constitution Drafting Council for writing an _______ constitution.,กำกวม,อย่าไปโทษ กกต. ควรจะโทษ ส.ส.ร.ที่เขียนรัฐธรรมนูญแบบ_______
annual,ประจำปี,ผู้แทนประชาชนจากทั่วประเทศจีนมาร่วมประชุมประจำปีของสมัชชาผู้แทนประชาชนแห่งชาติ,Deputies from all over China meet for the annual session of the National People's Congress.,annual,Deputies from all over China meet for the _______ session of the National People's Congress.,ประจำปี,ผู้แทนประชาชนจากทั่วประเทศจีนมาร่วมประชุม_______ของสมัชชาผู้แทนประชาชนแห่งชาติ
anticipate,ประมาณการณ์,การบรรลุเป้าหมายดังกล่าวน่าจะต้องหาทางเร่งให้อัตราการเติบโตทางเศรษฐกิจก้าวไปเร็วกว่าที่ประมาณการณ์ไว้ในปัจจุบัน,Achieving this target is likely to require much faster economic growth than presently anticipated.,anticipate,Achieving this target is likely to require much faster economic growth than presently _______.,ประมาณการณ์,การบรรลุเป้าหมายดังกล่าวน่าจะต้องหาทางเร่งให้อัตราการเติบโตทางเศรษฐกิจก้าวไปเร็วกว่าที่_______ไว้ในปัจจุบัน
"approach, v.",ทาบทาม,มีข่าวลือว่าเขาจะได้รับการทาบทามให้เป็นผู้ช่วยอธิการบดี,There was a rumor that he would be approached to be assistant to the university president.,approach,There was a rumor that he would be _______ to be assistant to the university president.,ทาบทาม,มีข่าวลือว่าเขาจะได้รับการ_______ให้เป็นผู้ช่วยอธิการบดี
"approach, n.",แนวทาง,รัฐบาลผสมยังไม่สนับสนุนแนวทางใหม่ๆ ในการรับคนเข้าทำงานในประเทศ,The coalition government has yet to support new approaches to immigration.,approach,The coalition government has yet to support new _______ to immigration.,แนวทาง,รัฐบาลผสมยังไม่สนับสนุน_______ใหม่ๆ ในการรับคนเข้าทำงานในประเทศ
"appropriate, adj.",เหมาะสม,ข้าวต้องการดินที่ดี รวมทั้งอากาศและ ปริมาณน้ำที่เหมาะสม,"Rice needs good soil, as well as air and the appropriate amount of water.",appropriate,"Rice needs good soil, as well as air and the _______ amount of water.",เหมาะสม,ข้าวต้องการดินที่ดี รวมทั้งอากาศและ ปริมาณน้ำที่_______
"assemble, (put together)",ประกอบ,อุตสาหกรรมรถยนต์ในประเทศไทย มีการนำเข้าชิ้นส่วนต่างๆ เพื่อนำมาประกอบภายหลัง,The Thai car industry imports the various parts to be assembled later.,assemble,The Thai car industry imports the various parts to be _______ later.,ประกอบ,อุตสาหกรรมรถยนต์ในประเทศไทย มีการนำเข้าชิ้นส่วนต่างๆ เพื่อนำมา_______ภายหลัง
assess,ประเมิน,หลังเหตุการณ์ทุกอย่างผ่านพ้นไปก็มีการประเมินระบบการแจ้งเตือน,"After everything had passed, the warning system was assessed.",assess,"After everything had passed, the warning system was _______.",ประเมิน,หลังเหตุการณ์ทุกอย่างผ่านพ้นไปก็มีการ_______ระบบการแจ้งเตือน
assign,มอบหมาย,หลังจากประเมินความสามารถของเขา หัวหน้าก็ได้มอบหมายงานที่มีความซับซ้อนมากขึ้น,"After evaluating his ability, the boss assigned him a more complicated project.",assign,"After evaluating his ability, the boss _______ him a more complicated project.",มอบหมาย,หลังจากประเมินความสามารถของเขา หัวหน้าก็ได้_______งานที่มีความซับซ้อนมากขึ้น
assist,ช่วยเหลือ,นายตำรวจรีบไปช่วยเหลือสตรีผมบลอนด์ร่างสูงสวมเสื้อคลุมยาว,The policeman hurried to assist a tall blonde in an opera cloak,assist,The policeman hurried to _______ a tall blonde in an opera cloak,ช่วยเหลือ,นายตำรวจรีบไป_______สตรีผมบลอนด์ร่างสูงสวมเสื้อคลุมยาว
"assistance, (service)",ความช่วยเหลือ,นักศึกษานัดพบอาจารย์เพื่อขอความช่วยเหลือ,The student made an appointment with the professor to ask for assistance.,assistance,The student made an appointment with the professor to ask for _______.,ความช่วยเหลือ,นักศึกษานัดพบอาจารย์เพื่อขอ_______
"assistance, (service)",ความช่วยเหลือ,ยังไม่มีการขอความช่วยเหลือใดๆ จากหน่วยสอบสวนสืบสวน,The detective force has not yet been called on for assistance.,assistance,The detective force has not yet been called on for _______.,ความช่วยเหลือ,ยังไม่มีการขอ_______ใดๆ จากหน่วยสอบสวนสืบสวน
assisting,การช่วยเหลือ,การช่วยเหลือผู้อื่นในยามที่เขาต้องการ เป็นสิ่งที่ควรยกย่อง,Assisting those who are in need deserves recognition.,assisting,Assisting those who are in need deserves recognition.,การช่วยเหลือ,_______ผู้อื่นในยามที่เขาต้องการ เป็นสิ่งที่ควรยกย่อง
"author, (career)",นักประพันธ์,ลอเรนซ์ แซนเดอรส์ เป็นนักประพันธ์ที่มีผลงานมากมาย,Lawrence Sanders was a prolific author.,author,Lawrence Sanders was a prolific _______.,นักประพันธ์,ลอเรนซ์ แซนเดอรส์ เป็น_______ที่มีผลงานมากมาย
"author, (incidental)",ผู้เขียน,ผู้ขียนสงสัยว่า การเสียชีวิตอย่างกระทันหันของภรรยา จะมีผลกระทบอย่างไรบ้างต่อสามี,The author wondered to what extent a wife’s sudden death has impact on the husband.,author,The _______ wondered to what extent a wife’s sudden death has impact on the husband.,ผู้เขียน,ผู้ขียนสงสัยว่า การเสียชีวิตอย่างกระทันหันของภรรยา จะมีผลกระทบอย่างไรบ้างต่อสามี
"authorities, (government)",เจ้าหน้าที่,พวกเจ้าหน้าที่คงต้องทำงานกันหนักเพื่อโยกย้ายชาวใต้ให้ออกจากถิ่นฐาน,Authorities could have a tough job on their hands shifting the southerners from their homes.,authorities,Authorities could have a tough job on their hands shifting the southerners from their homes.,เจ้าหน้าที่,พวก_______คงต้องทำงานกันหนักเพื่อโยกย้ายชาวใต้ให้ออกจากถิ่นฐาน
automatic,อัตโนมัติ,ระบบเตือนภัยอัตโนมัติจะทำให้การแจ้งเตือนเหตุแผ่นดินไหวรวดเร็วยิ่งขึ้น,An automatic emergency warning system would result in a faster earthquake warning.,automatic,An _______ emergency warning system would result in a faster earthquake warning.,อัตโนมัติ,ระบบเตือนภัย_______จะทำให้การแจ้งเตือนเหตุแผ่นดินไหวรวดเร็วยิ่งขึ้น
behalf,ในนาม,พวกเขาอุทธรณ์ในนามของสาวกลัทธิฟาหลุนกงชาวจีนที่ถูกทรมานอยู่ในขณะนี้,They appealed on behalf of Chinese Falungong practitioners who are being tortured.,behalf,They appealed on _______ of Chinese Falungong practitioners who are being tortured.,ในนาม,พวกเขาอุทธรณ์_______ของสาวกลัทธิฟาหลุนกงชาวจีนที่ถูกทรมานอยู่ในขณะนี้
"benefit, n.",ประโยชน์,ช้างที่ฝึกจนเชื่องแล้วมีประโยชน์มากในสมัยโบราณ,Domesticated elephants had great benefit in ancient times.,benefit,Domesticated elephants had great _______ in ancient times.,ประโยชน์,ช้างที่ฝึกจนเชื่องแล้วมี_______มากในสมัยโบราณ
"benefits, n.",สวัสดิการ,แต่ละคนล้วนได้รับเงินเดือนและสวัสดิการที่ดี,Each and every person had a good salary and benefits.,benefits,Each and every person had a good salary and _______.,สวัสดิการ,แต่ละคนล้วนได้รับเงินเดือนและ_______ที่ดี
"bond, (finance)",พันธบัตร,รัฐบาลจะหาเงินมาชดเชยกองทุนน้ำมัน โดยการออกพันธบัตรในเดือนเมษายนนี้,The government will subsidize the Oil Fund by issuing bonds in April.,bond,The government will subsidize the Oil Fund by issuing _______ in April.,พันธบัตร,รัฐบาลจะหาเงินมาชดเชยกองทุนน้ำมัน โดยการออก_______ในเดือนเมษายนนี้
capable,สามารถ,นักวิทยาศาสตร์เชื่อว่า ได้คิดค้นสารประกอบทางเคมีที่สามารถฆ่าเชื้อไวรัส ที่ทำให้เป็นโรคเอดส์ได้,Scientists believe that they have discovered a chemical compound capable of killing the virus that causes AIDS.,capable,Scientists believe that they have discovered a chemical compound _______ of killing the virus that causes AIDS.,สามารถ,นักวิทยาศาสตร์เชื่อว่า ได้คิดค้นสารประกอบทางเคมีที่_______ฆ่าเชื้อไวรัส ที่ทำให้เป็นโรคเอดส์ได้
category,ประเภท,รางวัลนี้แบ่งออกเป็น 3 ประเภท,The award is split into three categories.,category,The award is split into three _______.,ประเภท,รางวัลนี้แบ่งออกเป็น 3 _______
"chapter, (book)",บท,หนังสือบทนี้มีสาระ สามารถนำไปอ้างอิงได้,This chapter in the book has great content for reference.,chapter,This _______ in the book has great content for reference.,บท,หนังสือ_______นี้มีสาระ สามารถนำไปอ้างอิงได้
"chemical, n.",สารเคมี,ไทยเป็นประเทศแรกในเอเชียที่ส่งออกข้าวปลอดสารเคมี,Thailand is the first country in Asia to export chemical-free rice.,chemical,Thailand is the first country in Asia to export _______-free rice.,สารเคมี,ไทยเป็นประเทศแรกในเอเชียที่ส่งออกข้าวปลอด_______
"circuit, (electrical)",วงจร,มีการเรียกร้องให้ถ่ายทอดสัญญาณโทรทัศน์วงจรปิดออกมาจากที่ประชุม,There were requests to broadcast a closed-circuit television signal out of the meeting place.,circuit,There were requests to broadcast a closed-_______ television signal out of the meeting place.,วงจร,มีการเรียกร้องให้ถ่ายทอดสัญญาณโทรทัศน์_______ปิดออกมาจากที่ประชุม
circumstance,สถานการณ์,สันติภาพคือ การรู้สึกถึงความสงบเมื่อต้องเผชิญหน้าสถานการณ์ใดๆ ก็ตาม,Peace is experiencing tranquility in the face of any circumstances.,circumstance,Peace is experiencing tranquility in the face of any _______.,สถานการณ์,สันติภาพคือ การรู้สึกถึงความสงบเมื่อต้องเผชิญหน้า_______ใดๆ ก็ตาม
cite,อ้างอิง,หนังสือพิมพ์เกียวโดะนิวส์อ้างอิงตัวเลขสถิติของทางการว่าตั้งแต่เดือนเมษายนเป็นต้นมามีผู้เสียชีวิตแล้ว 1 รายและบาดเจ็บกว่า 90 รายจากการทำร้ายของหมี,The Kyodo News cited an official tally that there have been one person killed and over 90 injured by bears since April.,cite,The Kyodo News _______ an official tally that there have been one person killed and over 90 injured by bears since April.,อ้างอิง,หนังสือพิมพ์เกียวโดะนิวส์_______ตัวเลขสถิติของทางการว่าตั้งแต่เดือนเมษายนเป็นต้นมามีผู้เสียชีวิตแล้ว 1 รายและบาดเจ็บกว่า 90 รายจากการทำร้ายของหมี
civilian,พลเรือน,ขั้นแรกก็คือจัดให้มีรัฐบาลพลเรือนชั่วคราวขึ้นมา,The first step was to establish a temporary civilian government.,civilian,The first step was to establish a temporary _______ government.,พลเรือน,ขั้นแรกก็คือจัดให้มีรัฐบาล_______ชั่วคราวขึ้นมา
coincide,ประจวบเหมาะ,ผมนึกถึงช่วงเวลาที่ผ่านไป ซึ่งประจวบเหมาะกับการเข้ารักษาตัวของผมที่โรงพยาบาลพอดี,"I thought of the time which had elapsed, which coincided with my stay in the hospital.",coincide,"I thought of the time which had elapsed, which _______ with my stay in the hospital.",ประจวบเหมาะ,ผมนึกถึงช่วงเวลาที่ผ่านไป ซึ่ง_______กับการเข้ารักษาตัวของผมที่โรงพยาบาลพอดี
"commission, n. (fee)",ค่านายหน้า,ค่านายหน้าสูงสุดสำหรับการขายกรมธรรม์แผนใหม่เป็น 40 เปอร์เซ็นต์,The highest commission for new policies is 40%.,commission,The highest _______ for new policies is 40%.,ค่านายหน้า,_______สูงสุดสำหรับการขายกรมธรรม์แผนใหม่เป็น 40 เปอร์เซ็นต์
communication,การสื่อสาร,โครงสร้างพื้นฐานด้านคมนาคมและการสื่อสารทั่วเยอรมันล้วนได้รับการปรับเสริมให้รับมือกับจำนวนแฟนบอลที่เพิ่มขึ้น,The transport and communications infrastructure across Germany is geared up for the influx of football fans.,communication,The transport and _______ infrastructure across Germany is geared up for the influx of football fans.,การสื่อสาร,โครงสร้างพื้นฐานด้านคมนาคมและ_______ทั่วเยอรมันล้วนได้รับการปรับเสริมให้รับมือกับจำนวนแฟนบอลที่เพิ่มขึ้น
communication,การสื่อสาร,ปัญหาข้อนี้มีที่มาจากการติดต่อสื่อสารที่ไม่ตรงไปตรงมาของบุคคลที่เกี่ยวข้อง,This problem is caused by lack of straightforward communication among involved parties.,communication,This problem is caused by lack of straightforward _______ among involved parties.,การสื่อสาร,ปัญหาข้อนี้มีที่มาจากการติดต่อสื่อสารที่ไม่ตรงไปตรงมาของบุคคลที่เกี่ยวข้อง
community,ชุมชน,ประเด็นสำคัญที่สุดก็คือ การตระหนักว่าชุมชนควรจะทำอะไรบ้าง เพื่อช่วยกันปกป้องเด็กๆ,The most important issue is to realize what the community should do to protect children.,community,The most important issue is to realize what the _______ should do to protect children.,ชุมชน,ประเด็นสำคัญที่สุดก็คือ การตระหนักว่า_______ควรจะทำอะไรบ้าง เพื่อช่วยกันปกป้องเด็กๆ
compensate,ชดเชย,คนใช้รถยนต์ต้องจ่ายค่าน้ำมันสูงขึ้นเพื่อชดเชยกับการตรึงราคาน้ำมันเมื่อปี ๒๕๔๗,Car users must pay a higher gasoline price to compensate for the gasoline price freeze in 2004.,compensate,Car users must pay a higher gasoline price to _______ for the gasoline price freeze in 2004.,ชดเชย,คนใช้รถยนต์ต้องจ่ายค่าน้ำมันสูงขึ้นเพื่อ_______กับการตรึงราคาน้ำมันเมื่อปี ๒๕๔๗
compensation,ค่าตอบแทน,ทหารจะได้รับค่าตอบแทนจากยูเอ็นวันละ 1200 บาท,"The soldiers receive daily compensation of 1,200 baht from the UN.",compensation,"The soldiers receive daily _______ of 1,200 baht from the UN.",ค่าตอบแทน,ทหารจะได้รับ_______จากยูเอ็นวันละ 1200 บาท
"complex, adj.",ซับซ้อน,การพัฒนาหลักสูตร เป็นกระบวนการคิดที่ซับซ้อนและใช้เวลามาก,Curriculum development is a complex and time-consuming process.,complex,Curriculum development is a _______ and time-consuming process.,ซับซ้อน,การพัฒนาหลักสูตร เป็นกระบวนการคิดที่_______และใช้เวลามาก
elaborate,สลับซับซ้อน,ลวดลายที่ใช้ทอผ้าคลุมไหล่สลับซับซ้อนมาก,The patterns woven into the shawls were very elaborate.,elaborate,The patterns woven into the shawls were very _______.,สลับซับซ้อน,ลวดลายที่ใช้ทอผ้าคลุมไหล่_______มาก
intricate,ประณีต,ลวดลายที่ละเอียดประณีตบนผืนผ้าทำให้ผู้ทอต้องทำงานอย่างช้าๆ,The intricate patterns on the cloth forced the weavers to work very slowly.,intricate,The _______ patterns on the cloth forced the weavers to work very slowly.,ประณีต,ลวดลายที่ละเอียด_______บนผืนผ้าทำให้ผู้ทอต้องทำงานอย่างช้าๆ
"compound, (chemical)",สารประกอบ,นักวิทยาศาสตร์เชื่อว่า ได้คิดค้นสารประกอบทางเคมีที่สามารถฆ่าเชื้อไวรัส ที่ทำให้เป็นโรคเอดส์ได้,Scientists believe that they have discovered a chemical compound capable of killing the virus that causes AIDS.,compound,Scientists believe that they have discovered a chemical _______ capable of killing the virus that causes AIDS.,สารประกอบ,นักวิทยาศาสตร์เชื่อว่า ได้คิดค้น_______ทางเคมีที่สามารถฆ่าเชื้อไวรัส ที่ทำให้เป็นโรคเอดส์ได้
comprised of,ประกอบด้วย,ผุ้เรียนรายวิชานี้ประกอบด้วยนักศึกษาชั้นปีที่สอง ๑๔ คน ชั้นปีที่สาม ๗ คน และชั้นปีที่สี่ ๑๒ คน,"Learners of this course are comprised of 15 second year, seven third year and 12 fourth year students.",comprised of,"Learners of this course are _______ of 15 second year, seven third year and 12 fourth year students.",ประกอบด้วย,ผุ้เรียนรายวิชานี้_______นักศึกษาชั้นปีที่สอง ๑๔ คน ชั้นปีที่สาม ๗ คน และชั้นปีที่สี่ ๑๒ คน
"conduct, n.",พฤติกรรม,สาเหตุการทะเลาะมาจากความปะพฤติของนางสมิธ,The cause of the quarreling was Mrs. Smith's conduct.,conduct,The cause of the quarreling was Mrs. Smith's _______.,พฤติกรรม,สาเหตุการทะเลาะมาจากความปะพฤติของนางสมิธ
consist of,ประกอบด้วย,บ้านของชาวชนบทไทย ส่วนใหญ่ประกอบด้วยห้องใหญ่เพียงห้องเดียว,Rural Thai homes typically consist of a single large room.,consist of,Rural Thai homes typically _______ of a single large room.,ประกอบด้วย,บ้านของชาวชนบทไทย ส่วนใหญ่_______ห้องใหญ่เพียงห้องเดียว
